n, TOTAL_TIME, GENERATE_DATASET, KDTREE, TLR_MATRIX, CMTOMO, HMATRIX
128, 539.142151, 171.441147, 355.158020, 0.000000, 0.000000, 0.000000, 
512, 104.590340, 0.758784, 93.083649, 0.000000, 0.000000, 0.000000, 
512, 105.789436, 0.244736, 94.911491, 0.000000, 0.000000, 0.000000, 
512, 135.375870, 1.435648, 97.552383, 0.000000, 0.000000, 0.000000, 
256, 768.543762, 168.447998, 561.593323, 0.000000, 0.000000, 0.000000, 
512, 106.126335, 1.146880, 94.133247, 0.000000, 0.000000, 0.000000, 
512, 104.884224, 0.251904, 93.835266, 0.000000, 0.000000, 0.000000, 
512, 107.085823, 1.129472, 94.201859, 0.000000, 0.000000, 0.000000, 
512, 137.830399, 1.551360, 96.745476, 0.000000, 0.000000, 0.000000, 
512, 967.641113, 165.193726, 789.217285, 0.000000, 0.000000, 0.000000, 
512, 998.176758, 168.282104, 791.010315, 0.000000, 0.000000, 0.000000, 
1024, 1192.608765, 172.145660, 1006.894104, 0.000000, 0.000000, 0.000000, 
1024, 1193.225220, 173.209595, 1006.100464, 0.000000, 0.000000, 0.000000, 
1024, 1183.315918, 164.547577, 1005.979675, 0.000000, 0.000000, 0.000000, 
128, 533.172241, 165.529602, 354.739197, 0.000000, 0.000000, 0.000000, 
128, 532.138000, 164.213760, 355.670013, 0.000000, 0.000000, 0.000000, 
512, 971.081726, 170.156036, 789.084167, 0.000000, 0.000000, 0.000000, 
1024, 1202.836426, 182.315002, 1006.845947, 0.000000, 0.000000, 0.000000, 
1024, 1190.440918, 169.322495, 1006.911499, 0.000000, 0.000000, 0.000000, 
1024, 1186.452515, 165.823486, 1006.997498, 0.000000, 0.000000, 0.000000, 
128, 536.226807, 168.493057, 354.420746, 0.000000, 0.000000, 0.000000, 
128, 560.165894, 164.249603, 357.233673, 0.000000, 0.000000, 0.000000, 
1024, 1200.958496, 160.628738, 1006.932983, 0.000000, 0.000000, 0.000000, 
512, 966.417419, 166.076416, 787.493896, 0.000000, 0.000000, 0.000000, 
512, 963.591187, 166.286331, 785.852417, 0.000000, 0.000000, 0.000000, 
512, 971.476990, 165.917694, 790.397949, 0.000000, 0.000000, 0.000000, 
512, 961.921021, 158.649338, 789.689331, 0.000000, 0.000000, 0.000000, 
128, 542.340088, 174.359558, 355.642365, 0.000000, 0.000000, 0.000000, 
1024, 1189.019653, 169.890823, 1005.970459, 0.000000, 0.000000, 0.000000, 
1024, 1190.459351, 169.902084, 1007.328247, 0.000000, 0.000000, 0.000000, 
1024, 318702.125000, 166.668289, 1007.003662, 317030.093750, 18.115105, 392.361084, 
512, 328523.718750, 166.711288, 790.751221, 326676.375000, 9.687104, 821.830750, 
16384, 378181.656250, 165.498886, 3322.516602, 349357.968750, 2417.880615, 13073.676758, 
